Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,eigencentrality,clustering
MAR,Morocco,12,1,13,59435.847,0.446,59436.293,1,1,1,30.120608,0.095059,0.00063,0.004111,0,1,0.372589,0.519231
CPV,Cape Verde,4,0,4,99.752,0,99.752,0,0,0,0,0.016077,0,0.00586,0,0,0.060929,0.25
AFG,Afghanistan,2,1,3,1584.137,126.745,1710.882,5,0.280959,0.293207,1.25,0.001594,0.002999,0.00318,0,101,0.018258,0
PAK,Pakistan,12,9,21,1418.407,2191.113,3609.52,4,0.390018,0.422591,365.326265,0.076573,0.027789,0.007164,0,101,0.280112,0.327485
ARE,United Arab Emirates,29,19,48,13417.182,1941.342,15358.524,4,0.416996,0.46564,1223.905222,0.142009,0.047296,0.016993,0,101,0.645821,0.184461
AZE,Azerbaijan,6,0,6,66.087,0,66.087,0,0,0,0,0.031712,0,0.003976,0,79,0.137781,0.4
BHR,Bahrain,7,4,11,769.298,5.403,774.701,5,0.296348,0.31872,114.819646,0.030904,0.013011,0.004178,0,101,0.161425,0.233333
COG,Congo [Republic],9,1,10,146.193,530.521,676.714,1,1,1,40.143177,0.051577,0.000441,0.005275,0,68,0.232784,0.366667
DJI,,3,0,3,2.925,0,2.925,0,0,0,0,0.02117,0,0.002857,0,92,0.071763,0.333333
ESP,Spain,29,33,62,160101.157,48439.073,208540.23,4,0.458696,0.522907,740.05533,0.149142,0.133372,0.010987,0,101,0.804314,0.243351
HKG,"Hong Kong, China",18,4,22,39009.078,1504.327,40513.405,4,0.309384,0.328594,50.464938,0.090324,0.011084,0.007431,0,101,0.474518,0.409524
IRN,"Iran, Islamic Rep.",2,4,6,2139.718,36.537,2176.255,4,0.386447,0.410742,34.305681,0.014661,0.012908,0.002751,0,101,0.061667,0.266667
KWT,Kuwait,9,1,10,5357.4,3.728,5361.128,5,0.294693,0.310821,209.00423,0.055061,0.005562,0.005536,0,101,0.245323,0.486111
LBR,Liberia,5,0,5,59.744,0,59.744,0,0,0,0,0.03282,0,0.003449,0,22,0.131924,0.5
MUS,Mauritius,8,0,8,1244.994,0,1244.994,0,0,0,0,0.056656,0,0.003807,0,43,0.215281,0.535714
MYS,Malaysia,23,39,62,46347.404,80746.445,127093.849,3,0.507212,0.566351,1263.831062,0.106365,0.128735,0.011752,0,101,0.565107,0.193802
OAS,"Other Asia, nes",21,52,73,81555.525,34273.075,115828.6,3,0.54522,0.609795,1289.94042,0.112084,0.16078,0.008245,0,101,0.562171,0.158095
OMN,Oman,14,0,14,5656.097,0,5656.097,0,0,0,0,0.089565,0,0.005801,0,28,0.352732,0.467033
QAT,Qatar,8,0,8,1267.038,0,1267.038,0,0,0,0,0.050843,0,0.00512,0,5,0.207027,0.482143
SAU,Saudi Arabia,14,0,14,21348.639,0,21348.639,0,0,0,0,0.100141,0,0.005615,0,29,0.394928,0.489011
SEN,Senegal,12,3,15,16369.422,78.734,16448.156,4,0.306241,0.32188,80.685334,0.088882,0.003353,0.00486,0,101,0.337187,0.385714
SGP,Singapore,18,20,38,23054.261,1227.383,24281.644,4,0.416174,0.466035,335.295277,0.092366,0.067059,0.007533,0,101,0.504564,0.273399
SYC,Seychelles,3,0,3,525.804,0,525.804,0,0,0,0,0.018473,0,0.003076,0,17,0.085945,0.5
TGO,Togo,3,8,11,12.676,5906.904,5919.58,4,0.439583,0.46722,215.406051,0.014902,0.045095,0.004095,0,101,0.069014,0.554545
ARG,Argentina,5,21,26,386.121,34346.535,34732.656,3,0.485057,0.522907,107.340228,0.024705,0.085257,0.004312,0,101,0.109596,0.235714
BRA,Brazil,10,39,49,857.103,2409.226,3266.329,3,0.518428,0.57346,559.733459,0.071879,0.122522,0.003843,0,101,0.274883,0.145761
CHL,Chile,12,8,20,37273.545,558.242,37831.787,4,0.434156,0.46248,44.383075,0.078538,0.038867,0.003983,0,101,0.242169,0.470833
CHN,China,33,13,46,81082.135,12888.102,93970.237,3,0.438669,0.473934,475.433608,0.159077,0.051907,0.012457,0,101,0.816864,0.29303
DEU,Germany,38,66,104,218764.392,18231.283,236995.675,3,0.567204,0.64376,1660.098221,0.176164,0.258032,0.014809,0,101,1,0.169567
EGY,"Egypt, Arab Rep.",12,11,23,8552.757,542.506,9095.263,4,0.402672,0.438784,176.121047,0.100366,0.033071,0.004362,0,101,0.370104,0.330952
GBR,United Kingdom,38,46,84,60118.818,53732.484,113851.302,3,0.528822,0.590837,1003.170519,0.191299,0.19999,0.012063,0,101,0.960318,0.232203
IND,India,27,113,140,23040.018,453753.794,476793.812,3,0.674121,0.764613,2994.154317,0.121277,0.327057,0.009596,0,101,0.554941,0.089965
JOR,Jordan,10,0,10,2590.144,0,2590.144,0,0,0,0,0.082489,0,0.003507,0,63,0.268059,0.566667
MEX,Mexico,11,6,17,634241.793,367.299,634609.092,4,0.404215,0.43128,33.74707,0.100371,0.01695,0.003523,0,101,0.337388,0.404167
MKD,North Macedonia,8,2,10,2122.861,44.438,2167.299,4,0.376114,0.395735,11.496556,0.047868,0.005332,0.003707,0,101,0.166688,0.375
NPL,Nepal,5,3,8,20423.333,7.019,20430.352,4,0.352254,0.375592,1.230784,0.035208,0.015957,0.002897,0,101,0.119579,0.535714
NZL,New Zealand,21,14,35,19423.229,448.57,19871.799,4,0.368237,0.410348,776.059025,0.128337,0.020638,0.008102,0,101,0.569467,0.233333
PHL,Philippines,15,3,18,4980499.353,186.844,4980686.197,4,0.399621,0.421801,89.958406,0.090285,0.010099,0.006486,0,101,0.391342,0.404412
SLV,El Salvador,6,2,8,35675.178,714.257,36389.435,5,0.297183,0.311927,7.994003,0.031243,0.001512,0.004159,0,101,0.11846,0.375
THA,Thailand,19,21,40,643128.52,2229.763,645358.283,3,0.485057,0.522907,291.442872,0.115299,0.083468,0.006956,0,101,0.564092,0.314516
URY,Uruguay,6,0,6,2824.369,0,2824.369,0,0,0,0,0.027641,0,0.003417,0,62,0.07278,0.266667
USA,United States,44,102,146,74157.506,10430322.19,10504479.696,3,0.65528,0.740126,5376.013014,0.171035,0.303327,0.021273,0,101,0.883646,0.094675
VEN,Venezuela,4,0,4,116312.251,0,116312.251,0,0,0,0,0.032199,0,0.00246,0,61,0.085772,0.416667
VNM,Vietnam,27,11,38,1226121.959,4148.891,1230270.85,3,0.423695,0.457346,86.32579,0.155161,0.050441,0.008819,0,101,0.701112,0.378788
AUS,Australia,25,32,57,27640.848,36464.444,64105.292,3,0.498818,0.549763,822.673684,0.126118,0.106033,0.009481,0,101,0.666055,0.200317
BUN,Bunkers,7,0,7,15.992,0,15.992,0,0,0,0,0.038153,0,0.004706,0,15,0.189465,0.285714
CAN,Canada,24,30,54,178821.753,88351.169,267172.922,3,0.488426,0.539494,553.630121,0.115908,0.114198,0.008858,0,101,0.558566,0.225254
CXR,,2,0,2,7.151,0,7.151,0,0,0,0,0.006779,0,0.00249,0,84,0.059022,1
FJI,Fiji,6,2,8,49226.245,0.648,49226.893,1,1,1,6.679113,0.038572,0.003135,0.003366,0,38,0.190181,0.5
FRA,France,38,56,94,110259.198,7541.252,117800.45,3,0.536896,0.611374,1591.225006,0.174074,0.223006,0.018131,0,101,0.986877,0.174741
IDN,Indonesia,15,18,33,243442.048,1235.549,244677.597,3,0.445148,0.487362,68.15514,0.100789,0.075759,0.00582,0,101,0.490024,0.391667
JPN,Japan,25,12,37,594003.445,2793.111,596796.556,3,0.447034,0.479463,316.435497,0.131984,0.062113,0.01028,0,101,0.636871,0.410053
KHM,Cambodia,9,0,9,19479.56,0,19479.56,0,0,0,0,0.058478,0,0.003761,0,82,0.265099,0.736111
KOR,"Korea, Rep.",22,24,46,213466.857,347.545,213814.402,3,0.482838,0.526066,469.129654,0.113503,0.093197,0.008339,0,101,0.57662,0.268254
NCL,New Caledonia,5,0,5,3962.497,0,3962.497,0,0,0,0,0.036749,0,0.003026,0,35,0.140795,0.6
NRU,,2,0,2,0.52,0,0.52,0,0,0,0,0.010449,0,0.002305,0,42,0.061982,1
PNG,Papua New Guinea,6,0,6,36695.181,0,36695.181,0,0,0,0,0.036087,0,0.003557,0,4,0.186001,0.666667
PYF,French Polynesia,6,0,6,5690.018,0,5690.018,0,0,0,0,0.042116,0,0.003265,0,34,0.185993,0.666667
SLB,,2,0,2,3.155,0,3.155,0,0,0,0,0.010449,0,0.002305,0,41,0.061982,1
TMP,Timor-Leste,5,0,5,298.423,0,298.423,0,0,0,0,0.031182,0,0.002882,0,16,0.114662,0.4
UNS,Unspecified,10,0,10,689.96,0,689.96,0,0,0,0,0.041905,0,0.006779,0,2,0.204398,0.2
VUT,,2,0,2,3.335,0,3.335,0,0,0,0,0.008951,0,0.002254,0,40,0.047696,0
WSM,Samoa,2,1,3,0.382,0.007,0.389,5,0.269476,0.284597,0,0.004961,0.005026,0.002662,0,101,0.062274,1
AUT,Austria,23,57,80,294050.101,137658.447,431708.548,4,0.523573,0.605845,532.598924,0.125615,0.23834,0.009173,0,101,0.734478,0.219774
BEL,Belgium,23,41,64,93249.404,31757.833,125007.237,3,0.514634,0.57425,496.123928,0.134372,0.171984,0.008386,0,101,0.679203,0.232713
BGR,Bulgaria,17,6,23,15859.467,162.224,16021.691,4,0.357627,0.385466,30.388574,0.125776,0.025985,0.005681,0,101,0.594655,0.696078
CHE,Switzerland,24,17,41,383229.42,14.908,383244.328,3,0.473094,0.507899,235.319917,0.14659,0.084361,0.007964,0,101,0.682953,0.372984
CIV,Cote d'Ivoire,8,9,17,4181.76,67.227,4248.987,3,0.435052,0.464455,229.029622,0.057478,0.037817,0.004633,0,101,0.204234,0.32381
CYP,Cyprus,15,0,15,3799.406,0,3799.406,0,0,0,0,0.086934,0,0.006179,0,47,0.470961,0.585714
CZE,Czech Republic,20,16,36,15357.735,3943.593,19301.328,4,0.407336,0.450632,63.586032,0.110706,0.074506,0.008539,0,101,0.58946,0.42735
DNK,Denmark,20,34,54,49502.269,12943.097,62445.366,4,0.461707,0.527251,215.866606,0.125487,0.151555,0.008772,0,101,0.657481,0.330769
DZA,Algeria,10,0,10,27920.802,0,27920.802,0,0,0,0,0.081609,0,0.003692,0,66,0.328709,0.655556
EST,Estonia,13,26,39,5328.901,3152.374,8481.275,3,0.5,0.541074,265.623752,0.072221,0.129416,0.006181,0,101,0.429376,0.436492
FIN,Finland,12,16,28,3551.539,1967.572,5519.111,4,0.453763,0.491706,65.006764,0.09777,0.069888,0.004489,0,101,0.4489,0.432806
GRC,Greece,15,10,25,19774.475,961.355,20735.83,4,0.401905,0.436019,52.990657,0.113046,0.042208,0.005406,0,101,0.544826,0.563158
HRV,Croatia,14,9,23,32423.35,437.81,32861.16,4,0.394393,0.42654,47.993484,0.104355,0.037899,0.006326,0,101,0.448304,0.5875
HUN,Hungary,19,16,35,90852.515,8938.38,99790.895,3,0.448936,0.487362,178.407175,0.101512,0.078393,0.008455,0,101,0.558099,0.486667
IRL,Ireland,12,5,17,13158.863,3856.86,17015.723,4,0.38294,0.407583,1.820857,0.093277,0.028861,0.00416,0,101,0.416417,0.675824
ISR,Israel,11,5,16,34013.476,39,34052.476,3,0.427126,0.451027,95.932721,0.09049,0.025303,0.004001,0,101,0.341237,0.587912
ITA,Italy,27,39,66,109934.085,724030.705,833964.79,3,0.514634,0.57109,780.534423,0.145902,0.166229,0.010381,0,101,0.742114,0.245748
LBN,Lebanon,10,3,13,7584.62,2.86,7587.48,6,0.229847,0.244787,10.805511,0.07933,0.006586,0.005275,0,101,0.301843,0.403846
LTU,Lithuania,13,9,22,2223.58,1485.258,3708.838,4,0.390018,0.422591,69.870151,0.085302,0.035822,0.005732,0,101,0.441265,0.473856
LUX,Luxembourg,9,4,13,3017.598,27.271,3044.869,4,0.386447,0.410742,1.25398,0.068221,0.022955,0.003939,0,101,0.342581,0.866667
MLT,Malta,9,0,9,787.288,0,787.288,0,0,0,0,0.069077,0,0.003387,0,44,0.307637,0.819444
NGA,Nigeria,12,16,28,2945.898,47793.174,50739.072,3,0.473094,0.506319,322.546843,0.075321,0.066263,0.007075,0,101,0.300809,0.324275
NLD,Netherlands,30,60,90,52133.286,202888.962,255022.248,3,0.57027,0.635861,1352.691457,0.150477,0.23164,0.011463,0,101,0.759952,0.178426
NOR,Norway,16,2,18,1900.525,31.984,1932.509,4,0.362543,0.385071,2.746215,0.108043,0.011732,0.005381,0,101,0.457962,0.573529
POL,Poland,19,22,41,191979.015,1686.895,193665.91,4,0.439583,0.490126,426.257022,0.118457,0.09294,0.007876,0,101,0.624316,0.398851
PRT,Portugal,16,13,29,59591.203,107547.524,167138.727,4,0.370826,0.409558,406.809317,0.112092,0.025749,0.005329,0,101,0.55274,0.287037
ROM,Romania,20,19,39,23239.612,4676.276,27915.888,4,0.416996,0.46485,63.579556,0.130428,0.088637,0.007614,0,101,0.673856,0.545
RUS,Russian Federation,16,17,33,7686.654,19169.268,26855.922,4,0.360068,0.406003,552.723533,0.09998,0.032261,0.007839,0,101,0.444609,0.173563
SER,"Serbia, FR(Serbia/Montenegro)",20,64,84,3308.994,178431.059,181740.053,3,0.562667,0.638231,859.091672,0.111447,0.244846,0.00902,0,101,0.569556,0.180186
SVK,Slovak Republic,16,8,24,27222.917,2624.418,29847.335,4,0.392193,0.422591,31.940954,0.101326,0.038232,0.006356,0,101,0.557186,0.720588
SVN,Slovenia,12,8,20,16411.724,159.014,16570.738,4,0.378815,0.409953,11.318372,0.078798,0.033524,0.00494,0,101,0.4026,0.631868
SWE,Sweden,20,11,31,16902.948,648.49,17551.438,3,0.455724,0.484992,99.875385,0.127967,0.055878,0.0066,0,101,0.616757,0.483333
SYR,Syrian Arab Republic,5,0,5,1260.125,0,1260.125,0,0,0,0,0.045941,0,0.002281,0,8,0.096966,0.5
TUN,Tunisia,4,2,6,245.849,1241.813,1487.662,4,0.341424,0.359005,5.606012,0.038419,0.006766,0.002537,0,101,0.136079,0.466667
